pod_name,node_name,node_group,namespace,owner_kind,owner_name,req_cpu_milli_core,req_mem_byte,limit_cpu_mili_core,limit_mem_bytes
88c90025d93d73e868c8259cc384a5d4,ip-172-29-34-201.ec2.internal,1,gaia-full-test-set9-k8s-42,ReplicaSet,22b2786f10476ee7e794569f8a60ae0e,50,268435456,0,0
752f653b1ac241d69f309d34e299931a,ip-172-29-34-45.ec2.internal,1,kube-system,DaemonSet,f4928ee7ea1ab0b3ae6cae5224c5cc14,250,0,0,0
f2eaffc838db9156a06581ea70cd8c73,ip-172-29-32-144.ec2.internal,1,kube-system,DaemonSet,ea11065c99d9485fc7fe03aa1b668c20,0,0,0,0
0818b7845d1e47d113e9e27aeb38323a,ip-172-29-34-47.ec2.internal,2,monitoring,DaemonSet,1ac15354847d26be4cfecfb4de789729,0,0,0,0
acf366674ce398144f05d6ed1da80cac,ip-172-29-32-119.ec2.internal,1,monitoring,DaemonSet,86cd8075b192703711163a58803ee2f7,0,0,0,0
c8ddc54a06186c39bd124d388dd44c38,ip-172-29-35-241.ec2.internal,1,kube-system,DaemonSet,f4928ee7ea1ab0b3ae6cae5224c5cc14,250,0,0,0
f207a208c18dbf82205e4b48ad29cb5e,ip-172-29-32-70.ec2.internal,1,monitoring,DaemonSet,bdb7d6c8c035870574be8cbb114c876c,20,67108864,100,134217728
5a9d1b4d8f51158982432e4cf536ca3d,ip-172-29-34-67.ec2.internal,1,monitoring,DaemonSet,d04412633b8bee500329d7fbbc47561c,100,104857600,0,209715200
fce6791a60b2f86d241ab85cb7b75375,ip-172-29-32-136.ec2.internal,1,monitoring,DaemonSet,86cd8075b192703711163a58803ee2f7,0,0,0,0
3802418447b41ccf617e01262303a4e9,ip-172-29-32-189.ec2.internal,1,default,ReplicaSet,6fe75fdf79b62cd8aac8d5b07b555278,0,0,0,0
6838b86953da93c9c155338240f5467c,ip-172-29-35-241.ec2.internal,1,monitoring,DaemonSet,1b8f17886efd6187794d337db78af4f0,0,0,0,0
9f077e4cb2625d1095546ec445953ccf,ip-172-29-35-93.ec2.internal,1,monitoring,DaemonSet,d04412633b8bee500329d7fbbc47561c,100,104857600,0,209715200
b49b5053fc149096eaab7b03763b49fa,ip-172-29-39-173.ec2.internal,2,monitoring,DaemonSet,57eb891f0731d873968a2a4e1cda50fd,20,67108864,100,134217728
